#Transcript position	Transcript coverage profile
0.0	0.02643800469061739
1.0	0.009520472857609031
2.0	0.008598934674819812
3.0	0.013876067963731708
4.0	0.010528975481893589
5.0	0.0061261323176614105
6.0	0.011574617447365482
7.0	0.018344413054390878
8.0	0.01575168768995894
9.0	0.007823413008946184
10.0	0.008641342563574001
11.0	0.013256498470888377
12.0	0.0043842888301786394
13.0	0.01577956520356927
14.0	0.002591797009114766
15.0	0.005459514700947491
16.0	0.012231707372305107
17.0	0.012436587686301733
18.0	0.006465824911972988
19.0	0.00955265404181375
20.0	0.01613038939362193
21.0	0.014393284450001716
22.0	0.0038029711463536567
23.0	0.0058630210171604176
24.0	0.010683450813820631
25.0	9.961021849327074E-4
26.0	0.018808331092809428
27.0	0.01900663282894905
28.0	0.008360578278407596
29.0	0.008180312238080146
30.0	0.01353973216418063
31.0	0.011202262247074518
32.0	0.011592345608322323
33.0	0.014187504159390522
34.0	0.007528628325675612
35.0	0.004965308845789242
36.0	0.021044704194363033
37.0	0.011902432221309893
38.0	0.010223847909781755
39.0	0.0164221223066213
40.0	0.013742654517759158
41.0	0.005169148457024925
42.0	0.013670625431489438
43.0	0.00890857288954647
44.0	0.013493889917902735
45.0	0.006661099288348694
46.0	0.008424067879494266
47.0	0.00821610857370089
48.0	0.013768545862479727
49.0	0.011653608685699503
50.0	0.029089830870289345
51.0	0.010067597517516996
52.0	0.006845541495359174
53.0	0.01533845370668689
54.0	0.006829814687075597
55.0	0.003442527651234686
56.0	0.015509271117180755
57.0	0.01713787316831396
58.0	0.008155299442619642
59.0	0.018849506086976046
60.0	0.011023064933193258
61.0	0.004312184082990944
62.0	0.0
63.0	0.004734081917252542
64.0	0.010305970823673643
65.0	0.011222772807129945
66.0	0.005807385984093628
67.0	0.003399664858546413
68.0	0.007872829200875384
69.0	0.00920770679173103
70.0	0.012038951209057944
71.0	0.005370502756436546
72.0	0.015227138359437037
73.0	0.008923999396219325
74.0	0.02376221298796617
75.0	0.009856860976535403
76.0	0.005009928642471226
77.0	0.004688502021984519
78.0	0.010413605487198692
79.0	0.012357885786669296
80.0	0.009016587300219502
81.0	0.00940078684120728
82.0	0.0186990391543613
83.0	0.007244307724588985
84.0	0.012400396821232305
85.0	0.007042474335079862
86.0	0.004930445112945018
87.0	0.009886581980812048
88.0	0.009257741903171624
89.0	0.01971978314670745
90.0	0.010059491194211782
91.0	0.018564365113213462
92.0	0.013435189100041711
93.0	0.006553373040639685
94.0	0.01603626538637093
95.0	0.012229460812905595
96.0	0.011624305995199832
97.0	0.0042775141073139785
98.0	0.0
99.0	1.414027149321267E-4
