#Transcript position	Transcript coverage profile
0.0	0.05215032043159781
1.0	0.014766551069193525
2.0	0.015079063454754085
3.0	0.012294159771194987
4.0	0.013620923647327884
5.0	0.02533415847790907
6.0	0.04019404867152914
7.0	0.02483274948796073
8.0	0.021149743567324766
9.0	0.01794011613232792
10.0	0.032494530876440664
11.0	0.021607161060394495
12.0	0.004363346033433805
13.0	0.028016148636234507
14.0	0.016533033707599468
15.0	0.013261077334683305
16.0	0.01464431636057988
17.0	0.011612060089538275
18.0	0.010149970679767197
19.0	0.025354403544590703
20.0	0.016144746886006756
21.0	0.006787074439008385
22.0	0.012259283776351122
23.0	0.007114879210739377
24.0	0.032618844760607356
25.0	0.009885815430062783
26.0	0.030256379575866042
27.0	0.016346200670292153
28.0	0.01869244684123107
29.0	0.006373418825914405
30.0	0.022914725373839387
31.0	0.028516996091548133
32.0	0.006808747639477089
33.0	0.007599907470787943
34.0	0.006473707996347375
35.0	0.029379500089043904
36.0	0.03377782735417053
37.0	0.026004392419212687
38.0	0.014160337774853107
39.0	0.008660855616434182
40.0	0.020240286399862407
41.0	0.014345654859505896
42.0	0.02762222250430775
43.0	0.04630350206660923
44.0	0.04754524592171992
45.0	0.02999058825782345
46.0	0.004636608041976362
47.0	0.019031844502490083
48.0	0.016071108099171776
49.0	0.008529482222565669
50.0	0.01353701384596629
51.0	0.006629356334159947
52.0	0.030451548675721113
53.0	0.05577631567699031
54.0	0.0229306038092006
55.0	0.015382023912596066
56.0	0.021940578204686527
57.0	0.03314967980009066
58.0	0.032720864410032045
59.0	0.031348081639265064
60.0	0.024490991125814016
61.0	0.011840569729928753
62.0	0.013164600463353087
63.0	0.009410295495995463
64.0	0.04702087380826359
65.0	0.03774043183697062
66.0	0.009443916994500064
67.0	0.009990080480828719
68.0	0.007646202854536995
69.0	0.04893746938841016
70.0	0.031471472567896744
71.0	0.0222143949276909
72.0	0.023936945992034896
73.0	0.022313437945486646
74.0	0.030213572929676767
75.0	0.024505701354000695
76.0	0.027929270852462322
77.0	0.0367285597058145
78.0	0.019731711236015245
79.0	0.027015320245902814
80.0	0.02078255668848715
81.0	0.021989089014977592
82.0	0.01686143738037709
83.0	0.03217726193689474
84.0	0.02993161559217519
85.0	0.03525702407445213
86.0	0.02531485701822875
87.0	0.0037633155597508318
88.0	0.028584538802954557
89.0	0.012309099353768501
90.0	0.023598340455717848
91.0	0.03654925636258573
92.0	0.04567731090040181
93.0	0.039816048387441724
94.0	0.05051546958645043
95.0	0.05625873962425966
96.0	0.054053230132834584
97.0	0.10574836709401676
98.0	0.10231831736066431
99.0	0.05027519749644007
